"Statistic Label","CensusYear","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Louth County Council","%","15.773882992"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Meath County Council","%","14.647115694"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Offaly County Council","%","15.061295972"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Westmeath County Council","%","15.260196906"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Wexford County Council","%","17.228381375"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Wicklow County Council","%","17.3"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Clare County Council","%","15.480649189"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Cork City Council","%","16.371367824"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Cork County Council","%","15.24737303"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Kerry County Council","%","15.112781955"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Limerick City & County Council","%","15.324472244"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Tipperary County Council","%","15.305656934"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Waterford City & County Council","%","17.060294526"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Galway City Council","%","16.110436893"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Galway County Council","%","14.22832981"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Leitrim County Council","%","15.46635183"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Mayo  County Council","%","14.405360134"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Roscommon County Council","%","14.654688377"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Sligo County Council","%","15.930232558"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Cavan County Council","%","13.286405631"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Donegal County Council","%","16.26146789"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Monaghan County Council","%","12.111111111"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Ireland","%","17.179947119"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Carlow County Council","%","20"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Dublin City Council","%","16.693816602"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Dún Laoghaire Rathdown County Council","%","16.696046336"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Fingal County Council","%","15.459899532"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","South Dublin County Council","%","16.82182089"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Kildare County Council","%","17.677642981"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Kilkenny County Council","%","16.45139361"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Laois County Council","%","17.273710783"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Longford County Council","%","16.794425087"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Louth County Council","%","18.338238624"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Meath County Council","%","16.379804934"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Offaly County Council","%","17.387788112"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Westmeath County Council","%","16.949152542"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Wexford County Council","%","19.971411068"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Wicklow County Council","%","21.431727795"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Clare County Council","%","18.097716103"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Cork City Council","%","17.779783394"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Cork County Council","%","17.676667983"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Kerry County Council","%","17.822938566"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Limerick City & County Council","%","16.764044944"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Female","Tipperary County Council","%","16.895169795"
